name,price,status,shipping,free_returns,items_sold
Mountains Landscape Forest Nature Hard Case For Macbook Air 13 Pro 16 13 14 15,3795,Brand New,0,True,
MOSISO Hard Case for MacBook Pro 13 Chip M1 A2338 A2289 A1706 A1708 Shell Cover,1329,Brand New,0,True,
New ListingIncase MacBook 12 Airaprene Classic Sleeve Pouch Case Cover with Retina Black,1299,Brand New,0,False,
"New ListingTumi Ballistic 15""  Nylon Laptop Case Sleeve - Black",3999,Brand New,0,False,
For Macbook Air 13.6 in M2 A2681 Hard Shell Case Keyboard Cover Screen Protector,1499,Brand New,0,False,
MacBook Pro 13 inch Case & Keyboard Cover  Touch Bar A1989 A1706 A2238 A2289,1099,Brand New,0,False,782
New ListingNWT Lacdo 13” Tablet  Gray Laptop Soft Case,599,Pre-Owned,1190,False,
"New ListingTomtoc Laptop Case Sleeve 16-inch MacBook Pro, 15 Inch Old 360 Protective Bag X1",880,Brand New,1260,True,
"Laptop Sleeve Case Bag Cover Fr Apple MacBook Lenovo HP Acer Dell 11 13"" 14"" 15""",699,Brand New,0,False,104
"New Listing13 Inch Laptop Sleeve Carry Bag W/ Shoulder Strap Pouch Case for Macbook 13.3""",1899,Brand New,399,False,
"New ListingDabney Lee 11.6"" Laptop Fabric Sleeve Faux Fur Lined Black Brand New",1000,Brand New,610,False,
"New ListingLenovo ThinkPad 14"" Sleeve",2599,Brand New,0,True,
Plastic Hard Case Cover Laptop Shell for MacBook Air Pro Retina 11 12 13 15 inch,1110,Brand New,0,True,
"Laptop Bag Case for 14"" 15'' 15.6"" 16'' HP/ Lenovo/ Asus/Macbook Shoulder Strap",1491,Brand New,0,False,
New ListingHartmann Laptop Sleeve,1299,Pre-Owned,1260,False,
"Hard Case & Keyboard Cover & Screen Protector For Mac Pro 15"" Retina 2015 A1398",1590,Brand New,0,False,
New Laptop Carry Bag Protective Notebook Case Shockproof For MacBook Air Pro,1799,Brand New,0,True,
Incase Compact Sleeve in Flight Nylon for 13-inch Laptop Hibiscus Red,1350,Brand New,0,True,
"Incase Slim Sleeve Pouch Case w/Diamond Ripstop for MacBook Pro 15"" Retina Gray",1199,Brand New,0,False,
"Slim Neoprene Laptop Tablet Sleeve Case Bag Cover for 12"" 13"" 14"" Black",989,Brand New,0,True,
"Laptop Bag Case With Shoulder Strap For 13""14""15.6"" HP/Lenovo/ Asus/Macbook DELL",1495,Brand New,0,False,
